,Island,Body Mass cat,Flipper Length cat,Culmen Depth cat,Culmen Length cat
0,Torgersen,ok,kratučký,hlboký,krátky
1,Torgersen,ok,kratučký,klasický,krátky
2,Torgersen,ľahký,normálny,klasický,krátky
4,Torgersen,ok,krátky,hlboký,kratučký
5,Torgersen,ok,krátky,bezodný,krátky
6,Torgersen,ok,kratučký,klasický,krátky
7,Torgersen,ťažký,normálny,hlboký,krátky
8,Torgersen,ok,krátky,klasický,kratučký
9,Torgersen,ťažký,krátky,bezodný,krátky
10,Torgersen,ľahký,kratučký,klasický,krátky
11,Torgersen,ok,kratučký,klasický,krátky
12,Torgersen,ľahký,kratučký,klasický,krátky
13,Torgersen,ok,krátky,bezodný,krátky
14,Torgersen,ťažký,normálny,bezodný,kratučký
15,Torgersen,ok,kratučký,klasický,kratučký
16,Torgersen,ok,normálny,hlboký,krátky
17,Torgersen,ťažký,normálny,bezodný,krátky
18,Torgersen,ľahký,kratučký,hlboký,kratučký
19,Torgersen,ťažký,krátky,bezodný,normálny
20,Biscoe,ľahký,kratučký,hlboký,krátky
21,Biscoe,ok,kratučký,hlboký,krátky
22,Biscoe,ok,krátky,hlboký,kratučký
23,Biscoe,ok,kratučký,klasický,krátky
24,Biscoe,ok,kratučký,klasický,krátky
25,Biscoe,ok,kratučký,hlboký,kratučký
26,Biscoe,ok,kratučký,hlboký,krátky
27,Biscoe,ľahký,kratučký,klasický,krátky
28,Biscoe,ľahký,kratučký,hlboký,krátky
29,Biscoe,ok,kratučký,hlboký,krátky
30,Dream,ľahký,kratučký,klasický,krátky
31,Dream,ok,kratučký,klasický,kratučký
32,Dream,ľahký,kratučký,klasický,krátky
33,Dream,ok,kratučký,hlboký,krátky
34,Dream,ľahký,normálny,klasický,kratučký
35,Dream,ťažký,normálny,bezodný,krátky
36,Dream,ok,krátky,bezodný,krátky
37,Dream,ok,kratučký,hlboký,krátky
38,Dream,ľahký,kratučký,hlboký,kratučký
39,Dream,ťažký,kratučký,hlboký,krátky
40,Dream,ľahký,kratučký,klasický,kratučký
41,Dream,ok,normálny,hlboký,krátky
42,Dream,ľahký,kratučký,hlboký,kratučký
43,Dream,ťažký,normálny,hlboký,normálny
44,Dream,ľahký,kratučký,klasický,kratučký
45,Dream,ťažký,krátky,hlboký,krátky
46,Dream,ok,kratučký,hlboký,krátky
47,Dream,ľahký,kratučký,hlboký,kratučký
48,Dream,ok,krátky,klasický,kratučký
49,Dream,ťažký,krátky,bezodný,krátky
50,Biscoe,ok,kratučký,klasický,krátky
51,Biscoe,ťažký,kratučký,hlboký,krátky
52,Biscoe,ok,krátky,klasický,kratučký
53,Biscoe,ok,normálny,hlboký,krátky
54,Biscoe,ľahký,kratučký,klasický,kratučký
55,Biscoe,ok,krátky,hlboký,krátky
56,Biscoe,ok,kratučký,klasický,krátky
57,Biscoe,ok,krátky,hlboký,krátky
